SOCIETY,LAT,LONG,SUB,SUB2,PROTEIN,DENSITY,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
PAIELA,-5.428,142.977,H-HL,HORT,LIVESTOCK,9.8,267.8,27.3265306122449,11,3034,16.8374996185303,1937
PARE,-6.775,141.736,SH,SAGO,HUNTING,1.5,44,29.3333333333333,21.7999992370605,3567,26.9416656494141,26
PASI,-3.955,142.308,SH,SAGO,HUNTING,1.5,60,40,21.8999996185303,2612,26.529167175293,86
POLOPA,-6.997,144.463,HH,HORT,HUNTING,4,75,18.75,18.5,4404,24.5791664123535,211
RIANTANA,-7.539,138.475,AF,AGG,FISHING,0.6,206.3,343.833333333333,22.2000007629395,2269,27.341667175293,5
SAMAROKENA,-1.85,138.344,SH,SAGO,HUNTING,0.8,62.5,78.125,22.5,2784,26.7416667938232,85
SAMBERIGI,-6.728,143.929,H-HL,HORT,LIVESTOCK,4.3,,,13,3521,19.7958335876465,1264
SAMBIA,-7.041,145.605,HH,HORT,HUNTING,7.8,47.5,6.08974358974359,16.7999992370605,2569,22.875,763
SAMO,-6.153,142.194,HH,HORT,HUNTING,3.1,56,18.0645161290323,21.1000003814697,4275,26.3791675567627,126
SANIO-HIOWE,-4.458,142.373,SH,SAGO,HUNTING,1.6,25,15.625,21.8999996185303,3166,26.841667175293,38
SAWI,-5.993,138.649,SF,SAGO-FISH,FISHING,2.4,157,65.4166666666667,22.1000003814697,3799,26.9500007629395,28
SELTAMIN,-5.434,141.887,HL,HORT,LIVESTOCK,2.5,,,16.7000007629395,4174,21.841667175293,951
SENGGI,-3.424,140.776,SH,SAGO,HUNTING,0.8,44.3,55.375,21.2999992370605,2352,25.8833332061768,284
SENGO,-4.028,142.962,H-HF,HORT,HUNTING,2.1,266,126.666666666667,21.5,2339,27.0208339691162,28
SIANE,-6.1,145.246,HL,HORT,LIVESTOCK,21,204,9.71428571428571,9.10000038146973,2158,15.3874998092651,2258
SIKARITAI,-2.825,138.294,S-FH,SAGO-FISH,FISHING,0.8,46,57.5,22.3999996185303,3014,26.9208335876465,64
SINASINA,-6.071,145.032,AL,AGG,LIVESTOCK,104,405.3,3.89711538461538,11.6999998092651,2367,18.1833324432373,1767
SUKI,-8.048,141.84,S-FH,SAGO-FISH,FISHING,1.7,,,21.7000007629395,2108,26.5625,35
SUMARIUP,-4.733,143.24,SH,SAGO,HUNTING,0.4,50,125,20.7000007629395,3146,26.3958339691162,53
TAIRORA(NORT,-6.355,145.883,AL,AGG,LIVESTOCK,10.9,215,19.7247706422018,12.1000003814697,2067,18.8291664123535,1690
TAIRORA(SOUT,-6.459,145.961,HL,HORT,LIVESTOCK,14.1,240,17.0212765957447,11.6999998092651,2098,18.2875003814697,1734
TAUADE,-8.307,147.101,HL,HORT,LIVESTOCK,15.2,202,13.2894736842105,14.3999996185303,2753,20.904167175293,1367
TELEFOMIN,-5.131,141.628,HH,HORT,HUNTING,10.3,133,12.9126213592233,14.3999996185303,3729,19.8374996185303,1475
TIFAL,-5.117,141.411,HH,HORT,HUNTING,4.1,40,9.75609756097561,13.5,4291,19.0208339691162,1456
TUMLEO,-3.12,142.398,SF,SAGO-FISH,FISHING,15.5,71,4.58064516129032,22.7000007629395,2503,26.7374992370605,
URAPMIN,-5.118,141.544,H-HL,HORT,LIVESTOCK,6.4,50,7.8125,15.6000003814697,3912,21.029167175293,1185
URAT,-3.596,142.794,HL,HORT,LIVESTOCK,18.5,245,13.2432432432432,20.5,1906,25.529167175293,255
USARUFA,-6.397,145.631,HL,HORT,LIVESTOCK,36.1,197,5.45706371191136,10.1999998092651,2181,16.625,1986
WABUDA,-8.42,143.679,SF,SAGO-FISH,FISHING,3.4,292.5,86.0294117647059,22,2742,26.216667175293,
WAHGI (NORTH,-5.722,144.799,AL,AGG,LIVESTOCK,29.6,151,5.10135135135135,11.6000003814697,2581,17.3291664123535,1830
WAHGI (SOUTH,-5.99,144.753,AL,AGG,LIVESTOCK,33.6,450,13.3928571428571,11.3000001907349,2482,17.5750007629395,1888
WAINA,-3.35,141.158,SH-H,HORT,HUNTING,4.8,205,42.7083333333333,20.7999992370605,2247,25.1375007629395,416
WAM,-3.53,142.877,HH,HORT,HUNTING,29.7,254,8.55218855218855,20,1888,25.1458339691162,350
